itemid,name,price,order-in-page,page-number
3993331833,"Seaweed Shaker Fries Powder 200g (halal) seasoning flavor to be sprinkle on popcorn🍿 wings, fries, lok lok, pasta, pizza",4.95,0,1
17232436001,Ice Mountain Drinking Water (24 x 500ml),7.35,1,1
8912414403,E Value Mart Hai Chi Jia Hot & Sour Vermicelli 143g 嗨吃家酸辣粉143克,1.50,2,1
3570032328,AIRHEADS Candy (1 for 75 cents !!!) & Laffy Taffy,0.55,3,1
2854377396,"MILI Braised Peanut, 170 Grams (Halal)",0.65,4,1
13896222870,Coke Coca Cola Zero Sugar (24 x 320ml),16.40,5,1
5234835980,"[LOCAL] Old School Magnolia Ice Cream - Traditional (Singapore Version) - Wafer, Rainbow Bread, Ice Cream Sandwich",1.20,6,1
9549727528,【45 Flavors】Zi Hai Guo MaLa Hot Pot自嗨锅麻辣香锅/麻辣烫/韩式部队锅MaLa Xiang Guo Glass Noodles,4.40,7,1
17904553660,【Tam Jiak Min_$10 toship】Corn Sausage 双汇玉米肠香辣香脆肠香甜热狗肠烧烤火腿肠32/60g,0.85,8,1
12554239559,100 Plus Original Can (24 x 325ml),13.45,9,1
18049960693,巧克力燕麦饼干 Chocolate Oat Biscuits,1.43,10,1
16586072738,LV Grade Coffee Chew Up Upgraded Version 5 In 1 Instant Integrated Candy 100g (5 Flavors Mixed),7.02,11,1
11040790373,Genki Forest Sparkling Water 480ml元气森林气泡水480ml/箱 新加坡本地发货,8.80,12,1
13120771896,Coke Coca Cola Original Taste - Less Sugar (24 x 320ml),13.10,13,1
9274689357,Nongfu Spring Fruit Tea (Carton) 农夫山泉茶π  (箱) 500ml x 15,10.80,14,1
8019915916,GoCheep All Time Favorite Special Snacks,1.40,15,1
8626185956,【Best Deal In Town!!!】Nongfu Spring Drink ChaPai Tea 农夫山泉茶派  500ml,10.90,16,1
14315558845,🌟Best offer!🌟Xiao Mei muar fish otah otak-otak 麻坡正宗小妹鱼乌达 180g,4.00,17,1
6823338906,Nissin Cup Noodles Chilli Crab 75g [Japanese],1.48,18,1
13414141910,Haidilao Snacks Hai Di Lao Bugles Wheat Chips Crispy Crust Chips Hot Pot Snacks 海底捞虎牙脆零食 海底捞锅巴 妙脆角,2.95,19,1
8172678578,Dodo mart HAI CHI JIA Spicy & Sour Vermicelli 嗨吃家酸辣粉 143g,1.40,20,1
18930028775,🔥$0.99 PER PACK!🔥Super Ring Roller Coaster Twisties Milton Cheezel Double Decker Milo GoCHEEP,1.17,21,1
10902176740,Want Want Senbei 92g,2.35,22,1
11505224527,Wei Long Big Spicy Gluten Strips 卫龙辣条大面筋 65g/106g,1.00,23,1
10118508029,"Seaweed Shaker Fries, Wings, Seasoning Powder: Sour Cream, Mala, Wasabi, Salted Egg, BBQ, Truffle Tom Yum Cheese Tomato",3.70,24,1
16607493924,"Quest Nutrition, Protein Bar, Keto, Low Carb, Gluten Free, 60g",4.50,25,1
6823338905,Nissin Cup Noodles Seafood 75g Non-Halal [Japanese],1.48,26,1
20968839543,Chao Sua Rice Cracker Mini Pork Floss Crispy Rice Snack 30g,1.50,27,1
9174701429,Genki Forest Soda Sparkling Water (Carton) 元气森林苏打气泡水饮料 (箱) 480ml x 15,10.00,28,1
17403042134,[12/24pkt][Pre-Orders]Japan Hokkaido Hidaka Chocolate Strawberry Yoghurt Milk 日本北海道巧克力草莓酸奶苹果牛,24.00,29,1
22004875746,"Lifely Instant Food - Dessert In 60 Seconds, 代餐，银耳羹红枣， All Natural with no Preservatives Tremella Dessert 素食",1.61,30,1
6580714860,Sour Patch / Nerds / Trolli / Haribo / Swedish Fish / Airheads/ Jolly Rancher/ Skittles / Sweetarts,5.25,31,1
19511039692,(1pack) Haribo Gummy Candy Snack Sweet Jelly Candies Gummy Bear Children Day Marshmallow Seaweed GoCHEEP,2.20,32,1
18873138221,[Exclusive on Shopee] Nongshim Korean Beef Bulgogi Ramyun - 101g Big Bowl,1.45,33,1
4638199421,Marigold UHT Full Cream / Chocolate/ Strawberry/ Low Fat/ Malt Milk  ( Bundle of any 2 flavours ),33.90,34,1
8035487437,Genki Forest Soda Sparkling Water 元气森林苏打气泡水饮料 480ml,0.70,35,1
18850138437,"Keropok / Crackers (Tamban, Belinjau, Pisang, Udang, Muruku, Fishball, Tempeh, Rempeyek, Tapioca, Lekor) by UMMI",3.50,36,1
8239720864,【Ready Stocks】Nongfu Spring Drink ChaPai Tea 农夫山泉茶派 Assorted Drinks 500ml,1.35,37,1
10056807493,Nespresso Capsule Coffee Ispirazione Italiana Espresso Local Seller,8.90,38,1
16782386107,(Carton) KANG SHI FU Fruit Tea/ Juice/ Tea Series (箱) 康师傅果茶/果汁/茶系列 500ml x 15,9.50,39,1
8120082675,Dasani Drinking Water (600ml / 1.5L),7.30,40,1
21851941990,KOREA SNACKS Mini Yakgwa 1ea,0.97,41,1
18624041784,Nongshim Budae Jjigae Korean Army Stew Ramyun - 100g Big Bowl,0.99,42,1
2929907998,Nongfu Spring Fruit Tea 农夫山泉茶π 500ml,0.79,43,1
13254300074,White Elephant tasty Instant Noodles白象方便面,1.70,44,1
20950262182,"(SG Stock) Eureka, Eureka Popcorn, Multiple Flavours",4.50,45,1
6823338960,Nissin Cup Noodles Tom Yam Seafood 75g Non-Halal [Japanese],1.48,46,1
21925641720,KANG SHI FU Fruit Tea/ Juice/ Tea Series - 康师傅果茶/果汁/茶系列 500ml,0.69,47,1
10469639192,(1pack) Bin Bin Want Want Wang Wang Rice Shelly Cracker Snacks Chocolate Chips Biscuit Snack Chip Tidbits GoCHEEP,1.79,48,1
2324161186,Lowest Price Korean Almond Snack - Honey Butter Nuts 190g,6.87,49,1
16272210825,🔥SG No.1自Hai 锅自嗨锅Hot Pot自熱米飯自热米饭Self-Hi Pot Rice self-heating Pot | Zi Hai Guo Self-heating Claypot Rice自熱鍋自嗨锅1飯1菜1湯火锅米饭,3.25,50,1
4762864999,"Samyang / Hot Spicy Buldak Sauce 200g / Extra Spicy ,  Mayonnaise , Mayo , Carbo , Korean Sauce",5.83,51,1
5714541654,Silversea - Premium Atlantic Salmon Fish Fillet Steak 450G/900G Fresh Frozen Seafood,15.20,52,1
8026170937,Genki Forest Sparkling Water White Peach/Yogurt Flavor/Plum Juice/Calamondin 480ML元气森林气泡水白桃乳酸菌酸梅汁卡曼橘味,0.99,53,1
7455208674,Evian Mineral Water 24 x 330ml /  24 x 500ml  / 12 x 1.5L Carton Bundle,23.80,54,1
16791591843,Breaded Fish Fillet (605g/11pcs/pkt),9.80,55,1
21337260419,Lay’s Potato Chips Original Thai Flavour Lays Thailand,1.65,56,1
7151937182,Choya Yuzu 15% 750ml - Japanese Umeshu,29.90,57,1
9154834239,Polar Mineral Water 330ml/600ml/1.5L - 2 Carton Bundle,17.50,58,1
12901535424,Haidilao Snacks Wheat Chips Crispy Crust Snack Barbecue Chips Hot Pot海底捞零食虎牙脆锅巴妙脆角,2.16,59,1
11242121264,Yili Ambrosial Yogurt Series 伊利安慕希酸奶系列 (盒) 10 x 200g,12.50,0,2
3458649736,Oyster Sashimi (1kg),34.90,1,2
7244166001,[2 Carton Bundle] Dasani Drinking Water (600ml/1.5L) Expiry on Feb 2024,14.90,2,2
17879721474,[Bundle of 3] Nutella B-ready T6  [Italy],11.50,3,2
5379343853,GUMMY CANDY (HALAL CERTIFIED PRODUCT) - MIX AND MATCH SELECTION,3.80,4,2
5736306024,SG Authorised Seller Asahi Shuzo Kubota Junmai Daiginjo Sake Alc.15% 300ml/ 720 ml / 1.8L 久保田 純米大吟釀,20.90,5,2
21907729940,Ice Mountain Drinking Water (SG STOCK) (600ml / 1.5L Carton),8.50,6,2
9977297919,CJ BAEKSUL LUNCHEON MEAT 340G [Korean],4.50,7,2
19724530998,🇸🇬 [SG STOCK] Starbucks Capsules 10 Coffee Capsules Per Pack Nespresso Coffee Machine Compatible,7.19,8,2
21241022750,[SG Ready Stocks] Self Heating Hot Pot [Halal],5.00,9,2
7642393364,Ben & Jerry's Ice Cream Pint All YOUR Favourites Bundle of 3,36.90,10,2
17172529661,(2Boxes) Lotte Pepero Choco Biscuits Stick Candies Jelly Tidbits Cookies Wafer Snack Korean Snack Original GoCHEEP,2.99,11,2
5221380234,[MEATLOVERS] Japanese Frozen Wagyu Minced Beef Cube 500g,46.90,12,2
11209022165,SAKANA | Salmon Belly Loin Value Pack - 1KG Japanese Fresh Frozen Seafood,27.90,13,2
5832416700,(Korea Favourite) Honey Citron Tea 1kg /Jeju Citron Tea 1kg,8.80,14,2
6729468971,(35/50g) Hello Panda Chocolate Milk Strawberry Biscuit Snacks Chips Snacks Tidbits Crackers Jelly GoCHEEP,0.80,15,2
2727236097,Dasani Drinking Water (24 x 600ml) - Case (Halal),7.88,16,2
15100376101,"Mingo, Magnolia Cup Ice Cream (Halal) - Various Flavours",1.20,17,2
7743420685,NESCAFE 3in1 Original x3,16.76,18,2
9727543194,HAI CHI JIA Spicy & Sour Vermicelli(suan la fen) (6 Cups) 嗨吃家酸辣粉6桶装 6 x 143g,8.00,19,2
5834800242,Milo Activ-Go 900G,8.13,20,2
21437247260,Mama Instant Cup Noodle Thai Flavor Tum Yum 60g,0.90,21,2
13819028408,🔥 Ready Stock🔥12 flavors ON SALE🔥Zi Hai Guo Self Heating Rice Claypot Rice - 自嗨锅自热米饭煲仔饭牛肉粉过桥 网红 米线,4.20,22,2
16424668848,【FATAVOCADO.CO】Ready To Eat Chicken Breast Low Fat High Protein Vacuum Sealed 即食鸡胸肉 高蛋白低脂肪 健身代餐纯鸡肉饱腹轻食增肌零 100g,2.40,23,2
7533640793,Coca-Cola Original Taste (less sugar) - Carton (12 x 320ml) (Halal),7.95,24,2
16180097486,"[Osulloc] Korean Jeju 20 Tea Bags Pure Green, Canola Flower&Honey, Tangerine, Honey Pear, Tropical Black, Rooibos, Volcanic, Earl Gray,  Kombucha Calamago, osulloc ice tea, cold raya",10.26,25,2
20019483939,Oatside Oat Milk (6 x 1L Carton) (Barista / Chocolate / Chocolate Hazelnut),29.90,26,2
