itemid,name,price,order-in-page,page-number
21216147852,[Ready Stock Lowest Price] 2022 New Product Pet Ac Button Free Recording Dog Voice Box Press Bell Training Speaking Toy Sounder Squeeze Ordering,4.99,0,1
9465773576,[LOCAL SELLER] Pet Cat Scratch proof 2 pcs Anti-Scratch Pad Sofa Furniture Protector,2.98,1,1
13584397953,【SG】Large Capacity Cat Litter Box Semi-closed Sand Box for Cats Toilet Anti Splash Cat Tray Gift scooper,3.90,2,1
19202588770,"Cat Collar, Reflective Bell and Silicone Waterproof Airtag Holder Case Compatible with Apple , Breakaway Safety Buckle Collar for Kitten Puppy",4.31,3,1
11895931310,【 PRIMEOW 】 40g Dog Treats Pets Food Training Chew for Dogs Pet Snacks Korean Brand,1.68,4,1
6543413859,Fresh oxbow Timothy hay wholesale price rabbit hamster delivery included!,15.50,5,1
18523425828,SG Stock - Hamster Treats at $1,1.00,6,1
10625474909,Spot More Than 20 Color Styles Adjustable Pet Reflective collar Dog Collar Cat Collar Pet Collar Pet Neck Strap Cat Dog Squirrel Rabbit Guinea Pig Favorite Night Pet Supplies,0.85,7,1
16591371423,CHEAPEST!!! CAT SCRATCH BOARD SCRATCHER Cat scratch board Cat toys Wave shaped cat scratch board Fast delivery,2.81,8,1
18329755870,Tofu Cat Litter.2.2KG.All natural. Can be Flush & Clump within Second,5.50,9,1
5156021019,Royal Canin Indoor 27/ Fit 32 Exp : Oct 2023(2kg & 4kg),31.00,10,1
20742478171,Cat Grass Vitamin Minerals and Fibers Wheat Grass - Biji Benih Rumput Kucing (Improve Mental Stability & Immunes System),2.37,11,1
13002802473,"Dog and cat foot trimmer, electric cat shearing machine, USB charging razor",7.45,12,1
4345361781,Pet Carrier Backpack For Cat/ Dog Outdoor Vet Travel,19.99,13,1
17444607592,Freeze dried bites for pets dogs cats hamsters food/treats/snacks,2.60,14,1
5566709129,[Ready Stock]Pet cat dog collar with bell tag candy color pendant  accessories Necklace,2.15,15,1
9942350620,Pet Dog Grooming Scissors Curved Up and Down Scissors Sharp Animal Cat Hair Cut Barber Cutting Tool Kit,2.03,16,1
13146169259,Dog Towel Dog Blanket for Dogs and Cats Upgraded Super Absorbent Pet Bath Towel Microfiber Quick Drying Non-Fading,2.15,17,1
17189438730,Dehydrated Free 100g Air Dried Chicken Beef Salmon 100% Natural Single-Ingredient Pet Treat Dog Snack,1.30,18,1
10923185204,BL Parrot Diaper Flight Suit Diaper Clothes Parrot Parakeet Pigeon Medium Large Pet Bird,2.17,19,1
12411364418,🌟SG INSTOCK🌟 FLUFFY DONUT BED ROUND BED FOR PET DOG CAT PUPPY KITTEN. super soft and washable,5.99,20,1
4682797831,【 DIGNITY DOG 】 boots for pet ( Dog & Cat ) Protecting their foots or wounds 3 colors Small & Medium & Large,0.93,21,1
7585854594,（Ready Stock）EmmAmy Pet dog Cat leash  Adjustable Reflective,6.90,22,1
6841721620,Cat Scratch Post / Cat Scratch Condo / Cat Condo / Cat Scratch Tree,10.90,23,1
11125263989,Oxford Portable Dog Pet Cat Playpen,6.00,24,1
12194033817,Dr. Shiba Dog Supplement Healthy Functional Treats Happy Tummy,37.90,25,1
21756184093,Royal Canin Hair & Skin Dry Cat Food (2kg/ 4kg/ 10kg),35.00,26,1
3492016636,Pet Dematting Comb - Stainless Steel Pet Grooming Comb for Dogs  Cats Pro Grooming Tool Stainless Comb Hair Brush,2.15,27,1
19332670532,Adjustable Pet Harness Breathable Dog Collar for Cats Dogs Reflective Pet Leash Set Kitten Puppy Chest Vest Dog Accessories,3.77,28,1
6668159705,BUY 10 GET 1 FREE DONO Female/Male Dog Diaper Dog Wraps Puppy Diapers,4.00,29,1
17479440378,Petpal Cat Litter Deodorising Litter Beads for Cats (250ml),4.39,30,1
10541762129,Bird Cage Seed Catcher Guard Tidy Pile Fabric Stretchy Guard Mesh Net,2.34,31,1
4842413117,Pet Dog Cat Cone Neck Collar Anti-Bite Medical Recovery,1.64,32,1
5336599003,Engrave Pet Dog cat collar accessories Decoration Pet ID Dog Tags Collars stainless steel cat tag customized tag,1.43,33,1
18956792746,[3 FOR $18] Tofu Cat Cleaning Clump Litter (6L),6.10,34,1
20464063120,[FILLY] Washable Pet Pee Pad Pet Diaper Mat Reusable Mats for Dogs Dog Bed Urine Washable Dog Training Pad Four Seasons Pet Mat Urine DFG,2.68,35,1
20449295896,"【 BETRANG 】 Dogs milk chew bone Dental Care Pet Chewing Snack NO stress relief snack tartar tooth care removal of bad breath bruising Low-fat, low-calorie, high-protein dog treat",2.81,36,1
20467429768,Cat Litter Deodorizer Activated Charcoal Cat Deodorizer Pet Litter Cat Litter Deodorant Beads,3.00,37,1
20017178114,【SG】Pet Automatic Water Feeder Fountain Water Dispenser Automatic Bowl for Cat and Dogs with Filter 3L,20.90,38,1
16869876522,8D 8 Layers Aquarium Fish Tank Filter Sponge No Glue Foam Biochemical Cotton Aquarium Water Filtration Accessories Bio-sponge,2.14,39,1
10554877658,Pet Fountain Water Dispenser Automatic Bowl for Cat and Dogs with Filter 3L,22.90,40,1
19734980534,Puppy Dogs Soft Vests Pet Dog Clothes Cartoon Clothing Summer Shirt Casual T-Shirt for Small Pet Supplies,1.07,41,1
8363618700,🇸🇬 Cat Litter / Tofu Cat Litter 6L,5.90,42,1
20144145026,"BIC CHARCOAL Pet Training Pads Disposable Pee Pad Diaper for Dogs, Cats, Rabbits, Birds & Small Animals (S/M/L/XL)",6.00,43,1
10744464693,"Purina Friskies Made in USA Cat Treats, Party Mix Cheezy Craze/  chicken loverCrunch - 20 oz. Canister, Cheese",23.50,44,1
6390628046,Aatas Cat Tantalizing Tuna Wet Cat Food 80g,1.00,45,1
17600703554,Mini Aquarium Block Tank Betta Guppy Fish Tank Building Block,1.93,46,1
19340798530,Ready Stock Original Pure Handmade Maid Cat Trumpet Flower Sun Hat Pet Cross-Dressing British Short Cute Headgear,3.55,47,1
12540198719,🔥SG LOCAL STOCK🔥Pet Dog Bath Brush Shampoo🔥Massage Brush Shower🔥Hair Removal🔥For Dogs Cats Cleaning Grooming Tool🔥,2.50,48,1
16483983694,"Vitakraft Country Home Small Animal Litter 15L & 60L, For Hamsters, Rabbits, Rodents",4.77,49,1
14891664340,CHEAPEST IN TOWN CIAO TREATS  (50pcs),25.90,50,1
15366076229,[SG Seller] EZCARE Tofu Cat Cleaning Clump Litter 6L / 7L,6.28,51,1
18666618088,✅Local seller Cat Litter  Tofu 6L 1.8KG  Cleaning Clump sand green tea activated carbon 豆腐猫砂,3.90,52,1
21768631279,[3 for $18] Cat Litter Tofu 6L [LOCAL SELLER READY STOCK],6.00,53,1
4334047211,NEXGARD SPECTRA.AUTHENTIC,44.30,54,1
17640295406,🚀[SG] Pet Water Drinking Fountain Bowl with Filter Carbon/ Dog Cat Puppy Kitten Water Drinking Bowl/ Pet Water Dispenser,7.50,55,1
7984154353,"YEE Aquarium Water Changer | Fish Tank Cleaning Tool, Aquarium Glass Cleaner With Easy Handling For A Clean Fish Tank",7.48,56,1
2400094518,ABSORBENT PLUS PET TRAINING PEE PAD / DOG TRAINING PEE PAD,6.30,57,1
8316085997,🔥Buy 10 + Free 1🔥 Dono Pet Disposable Diapers (Male & Female Pet Diapers) - Buy 10 Free 1 Promotion,4.00,58,1
13506019573,"Interactive Pet Cat Toys Self Rotating Ball for Cats, Smart USB Rechargeable Toy Ball for Kitten",14.58,59,1
13506019573,"Interactive Pet Cat Toys Self Rotating Ball for Cats, Smart USB Rechargeable Toy Ball for Kitten",14.58,0,2
11994080142,Waffle Bear Pet Dogs Clothes for Boy Female Puppy Shitzu Clothing Terno Cats Vest Breathable Thin Section,2.59,1,2
5737604789,"🌟SG INSTOCK🌟 PET BED RECTANGLE FOR DOG CAT, super comfy and washable",5.99,2,2
23601069192,【 BOWWOW 】 350g/220g/150g/100g Pet training Treats Pets Snack Dog Treats Chew for Dogs Biscuit Mixed Snacks,2.38,3,2
11037944132,The Furniture Store Absorbent Pee Pad Dog Pee Pad Training Pads Disposable Cat Pet Diapers Cage Mat Supply Accessories,4.99,4,2
13110806168,Pet Dog Shampoo Massage Brush Cat Massage  Short Hair Soft SiliconeComb Bath Brush,2.86,5,2
12451144198,[Local Seller]Pet Food Container Airtight Dog Cat Bird Seed Rice Storage Box Waterproof Moisture-Proof Container,5.90,6,2
10965139147,[CLEARANCE] Near Expiry  / Discontinued Treats,1.50,7,2
18256697974,Pet Collar Soft Mesh Bow Padded Dog Harness with Leash Reflective Vest Chest Strap Breathable,6.18,8,2
15429291512,【SG Seller】Pet Grooming Shaver Clipper Dog Cat Hair Trimmer Pet Shaver Hair Clipper Set Rechargeable Pet Trimmer Kit,6.90,9,2
3677580050,"Ready Sg Stock Pee Sheet, Pee Pad, Small 100pcs, Medium 50pcs, Large 25pcs",7.60,10,2
7901973059,LANF Crocodile Durability Cat Vocalization Plush Dog Chew Toys,3.83,11,2
4556032686,Kit Cat Soya Cat Litter 7L {💨 Bundle of 2/4},20.80,12,2
21803502002,[Sampling Bundle] Sparkles Gravylicious & Jellylicious Cat Wet Food (8 cans) | Shopee Exclusive!,6.90,13,2
8915128157,YANN New Pet Dog Cat Pet Supplies Water Food Dish Feeding Bowl Puppy Feeder Stainless Steel Durable Fixed Protect The Cervical Spine/Multicolor,4.95,14,2
19320346050,🇸🇬 Cat Scratcher / Cat Scratch Board / Cat Scratcher Board / Scratching Board,3.90,15,2
18744144343,"BIC ABSORBENT Pet Training Pads Disposable Pee Pad Diaper for Dogs, Cats, Rabbits, Birds & Small Animals (S/M/L/XL)",4.80,16,2
18122322175,[SG] $1 SGD MIX&MATCH HAMSTER SAMPLE STARTER KIT TREATS | BUY $20 FREE 2 PACKS :),1.00,17,2
3156892486,PetFinest Dog Multivitamins Chew Pet Supplement - Glucosamine/Probiotics/MSM/Omega 3/Vitamins - 100 Treats,39.90,18,2
11854354953,【 NATURAL CORE 】 큐브 80g Cube treats for dog Human Grade Sweet Potato Carrot Pumpkin and Apple 4 flavors,4.32,19,2
4367644839,Catnip Chewing Toys Funny Interactive Plush for Cats,1.51,20,2
5580492094,🔥🔥Ready Stocks🔥🔥{Bundle of 24}Sheba Pouch Wet Cat Food 70g,28.80,21,2
8996921595,Momi Timothy Hay 2.5kg,27.88,22,2
2491203,Bow Wow Jerky Stick Dog Treats,2.50,23,2
6088849160,[1 Carton] Kit Cat Tuna Canned Wet Cat Food Topper 80g x 24 Cans (8 Flavors),21.80,24,2
12747457228,Perkytails Wild Alaskan Salmon Oil Cat and Dog Supplement - Omega 3 Fish Oil - Skin Coat Pet Supplement - 8oz/16oz,26.80,25,2
8678188100,Kit Cat Deboned Toppers 80g,1.10,26,2
9427384040,⭐ KITCAT CAT FOOD ⭐ Cat Wet Food Kit Cat Canned Food(1 carton/24 cans),21.99,27,2
4619146544,Furry's Kitchen Pork & Broccoli,4.35,28,2
7238944803,[Bundle of 1/2 40oz/90oz] Oxbow Hay Blends-Western Timothy+Orchard Grass,19.90,29,2
13508297530,4 PCS Dog Accessories Dog Shoes Dog Socks Anty Slip Cat Socks Pet Socks Dog Shoes,2.14,30,2
14348366223,"Absolute Holistic Dog Dental Chew 4"" (10.2cm)",1.15,31,2
15784472234,[7 for $10.85] Loveabowl Cat Canned Food,1.55,32,2
13326344266,[$2 OFF/Bundle Promo/ISO 9001 Certified] Dzahara Premium Quality Halal Cat Kitten Adult Kibbles Food Suci Bersih 10kg,45.00,33,2
19526826490,[SG Stock] soft zoo high ball catnip cat snack catmint,2.90,34,2
6090834091,"BIC ABSORBENT BUNDLE Pet Training Pads Disposable Pee Pad Diaper for Dogs, Cats, Rabbits, Birds & Small Animals",4.99,35,2
4443744957,[LARGE CLOSED LITTER BOX]Enclosed Cat Litter Box/Extra Large/Cat Full Enclosed Flip,13.50,36,2
3834285467,[Bundle Promo 40oz/90oz/9lbs] Oxbow’s all-natural Western Timothy Hay,19.60,37,2
18440082158,Bronco /Platinum Choice Pate Dog Wet Food Tray /Can,1.15,38,2
3168079743,🔥🔥AUTHENTIC 🔥🔥Royal Canin Indoor 27(10kg),130.00,39,2
5744492963,Cat Scratcher board / Removable Cat Scratching Pad with Ball / 2-in-1 Corrugated Cat Scratch Lounge Sofa,6.50,40,2
21158612366,[Promo!!] Ciao Churu Festive Pack/Tube 50s/52s/56s/80g,6.50,41,2
17812666780,"YEE Hamster Sand, Urine Sand For Pets, Odour Removal, Cooling Sand",5.85,42,2
1028523049,Dog Cat football style Jersey clothes,1.50,43,2
7414703796,[Promo $19.50] Wellness CORE Tiny Tasters 1.75oz,19.80,44,2
20316999087,"BIC BABY WET WIPES BUNDLE Soft, Skin & Pet Friendly (10 Cap Packets x 80 Sheets Each)",9.99,45,2
