itemid,name,price,order-in-page,page-number
8254133049,ready stock -20cm Flip Octopus doll TIKTOK TeeTurtle Reversible Bipolar Plushie Stuffed toys Best gifts for Kids,2.01,0,1
11746603869,Montessori Toys Busy Jar Fine Motoric Play Sensory Toys,10.26,1,1
2106291902,🇸🇬 30x30cm Newborn Baby Wash Burb Cloth handkerchief children's day,1.23,2,1
9283365211,"LCD Writing Tablet Child Handwritting/Drawing/Painting Blackboard Erasable Ultra-Thin Pads (4.4""/8.5"")",1.30,3,1
11309827060,"💥ATM Bank💥 Children's Saving ATM Saving box Pig Bank Electronic Gift for Children,With Music",11.90,4,1
4655372833,SG Seller Bundle 1/3/6 Minyak Telon Oil My Baby 8 Hours - Ready Stock in SG,2.95,5,1
13798195078,Viral Toys Lato Lato Toys Old School Toys Games Bola Tek Tek Traditional Viral Latto Latto Ball Toys,1.99,6,1
20743369802,Pop up Funny Mouse and Cheese Block Squeeze Anti-stress Toy Hide and Seek Figures Stress Relief Fidget Toys for Kids Adult,2.15,7,1
4793408289,Educational Posters for Kids Preschool Learning Alphabet Numbers Shapes Colors Laminated Poster Chart,0.99,8,1
20627377724,3 In 1 Baby Montessori Pull String Sensory Toys 0-3Y Silicone Teething Activity Toy for Toddler Finger Grasp Training,9.02,9,1
22922701936,Children's Toys Lato Lato Etek Old School Games Lato Lato Light To Practice Hand Skills and Balance,1.93,10,1
21927325933,Cartoon Bottom Medium Sand Painting DIY Sand Painting Toy Puzzle Hand-painted Kindergarten Birthday Prize,0.73,11,1
16234226268,New Born Bath Towel | Hooded towel | Baby Towel | Kids hooded towel,5.90,12,1
5237319498,Baby Infant Toddler Dummy Pacifier Spring Soother Nipple Clip Chain Holder Strap,0.96,13,1
20143892808,(SG SELLER) 30 x 40 cm European Boho Design Baby Children Childcare Waterproof Organiser Wet Bag Diaper Nappy swimminBag,4.95,14,1
14801942685,🇸🇬 [READY STOCK] Dancing Cactus Dencing Cactus Cactus Plush Toy Talk Dancing Toy Song Plush Early Childhood Christmas,7.50,15,1
8814395129,"Baby Kids Bed Fence Vertical Lift Baby Bed Rail Guard Fence for Single, Super Single, Queen and King Bed",11.90,16,1
13781454863,Bright  Home 3D Dinosaur Water Gun for Kids Cute Cartoon Tyrannosaurus Press Water Spray Gun Small Pistol,1.07,17,1
8651811908,baby bath towel childcare (Muslin Gauze Material 60cm*120cm),4.00,18,1
9697900142,Black Color Baby Safety Gate Pet Fence Divider Self Fix Barrier Door for Babies or Pets,12.90,19,1
12138064857,"Cubble Comfy Bamboo Pillow and Pillowcase Small / Medium / Large / XL [4 sizes, 3 Colors]",9.00,20,1
3696203463,ANKOU AirTight Milk Powder Container - Circle (800ml/ 1500ml/ 2000ml),9.90,21,1
10446583708,Sanrio Cute Kuromi Cinnamoroll My Melody Panda Plush Toys Stuffed Dolls Gift For Kids Plush Pendants Cartoon Toys For Kids Wholesale contact customer service Wholesale contact customer service,2.87,22,1
9073158223,[Ts] 3Pcs Baby Educational Toys Soft Bobble Design Tactile Stimulation Safe Spin Sucker Spinning Top Toys for Baby Supplies,8.70,23,1
5286770914,"️ 【WADLY1314】PIGEON Wide Neck milk bottle PPSU Bottle botol susu With Peristaltic Nipple ( Mickey )-Ready Stock(160ml/5oz,240ml/8oz)",7.88,24,1
15649075453,Kodomo Baby Fabric Wash Laundry Detergent / Softener,3.50,25,1
2703680627,Baby Story Reading Book Good Night Little Bears Baby Cloth Book,4.84,26,1
3231761651,Fashionfox [Six-layer yarn U-shaped bib] Newborn Bib meal pocket U-shaped baby gauze mouth towel pure cotton,1.07,27,1
6177739591,🇸🇬 waterproof diaper changing mat,2.50,28,1
12182352797,🇸🇬 30x30cm Baby Wash Cloth Handkerchief Burp Towel 6 Layer 100% Cotton Muslin,1.39,29,1
19551347748,[HOORAY!] Baby food || Ready-To-Eat,5.50,30,1
1577735303,Philips Avent Natural Bottles 125ml / 260ml / 330ml,11.50,31,1
